,student,position,name
217,Gilson Vieira,comitee, Claudinei Eduardo Biazoli Junior
218,Gilson Vieira,comitee, Ellison Fernando Cardoso
219,Gilson Vieira,comitee, André Fujita
220,Gilson Vieira,comitee, José Roberto Castilho Piqueira
221,Livia Maria Silva Moura,na,Busca de variantes em sequência de DNA proveniente de pacientes com deficiência em processos de reparo do genoma
222,Leandro Nascimento Lemos,president, João Carlos  Setubal
223,Leandro Nascimento Lemos,comitee, Welington Luiz de Araujo
224,Leandro Nascimento Lemos,comitee, Vivian Helena Pellizari
225,Ricardo Cacheta Waldemarin,president, Clever Ricardo Guareis de  Farias
226,Ricardo Cacheta Waldemarin,comitee, Maria Cristiane Barbosa Galvão
227,Ricardo Cacheta Waldemarin,comitee, Renata Wassermann
228,Andre Chalom Machado de Oliveira,president, Paulo Inácio de Knegt López de  Prado
229,Andre Chalom Machado de Oliveira,comitee, Pedro Luis Bernardo da Rocha
230,Andre Chalom Machado de Oliveira,comitee, Ricardo Zorzetto Nicoliello Vencio
231,Deibs Barbosa,na,Análise computacional da variação do potencial metabólico microbiano em metagenomas
232,Fernanda Orpinelli Ramos do Rego,president, João Carlos  Setubal
233,Fernanda Orpinelli Ramos do Rego,comitee, Gabriel Rodrigues Alves Margarido
234,Fernanda Orpinelli Ramos do Rego,comitee, Claudia Barros Monteiro Vitorello
235,Leandro de Araujo Lima,president, Helena Paula  Brentani
236,Leandro de Araujo Lima,comitee, Roberto Marcondes Cesar Junior
237,Leandro de Araujo Lima,comitee, André Fujita
238,Leandro de Araujo Lima,comitee, Suely Kazue Nagahashi Marie
239,Leandro de Araujo Lima,comitee, Guilherme Vanoni Polanczyk
240,Sérgio Nery Simões,na,Uma abordagem de integração de dados de redes PPI e expressão gênica para priorizar genes relacionados a doenças complexas
241,Milton Yutaka Nishiyama Junior,president, Glaucia Mendes  Souza
242,Milton Yutaka Nishiyama Junior,comitee, Luciano Vieira de Araújo
243,Milton Yutaka Nishiyama Junior,comitee, Marcelo Mendes Brandão
244,Milton Yutaka Nishiyama Junior,comitee, Luciano Antonio Digiampietri
245,Milton Yutaka Nishiyama Junior,comitee, Diego Mauricio Riaño Pachón
246,Ana Claudia Mancusi Valeije,president, Paulo Sérgio Lopes de  Oliveira
